,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Isolation Forest,0.9977879990168884,0.3191489361702128,0.32608695652173914,0.3225806451612903,0.6624807914312582
Local Outlier Factor,0.996875109722271,0.0425531914893617,0.043478260869565216,0.043010752688172046,0.5209478520806416
One-Class SVM,0.9778097679154524,0.03639240506329114,0.5,0.06784660766961652,0.7392913662739581
